Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views	To keep	Deprecated
Assembly	Assembly of the mitochondrial genome from PacBio HiFi reads	https://training.galaxyproject.org//topics/assembly/tutorials/mitochondrion-assembly/tutorial.html	Genomics, Sequence assembly, Biodiversity, Mitochondria		2024-09-03	2026-04-22	5	True	False	True	True	mitohifi, compress_file	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.org (Main)		0		1445	1717	10.883333333333333	0	True	False
Assembly	Unicycler assembly of SARS-CoV-2 genome with preprocessing to remove human genome reads	https://training.galaxyproject.org//topics/assembly/tutorials/assembly-with-preprocessing/tutorial.html		Sequence file editing, Sequence assembly visualisation, Scatter plot plotting, Validation, Data handling, Pairwise sequence alignment, Box-Whisker plot plotting, Sequence contamination filtering, Aggregation, Sequencing quality control, Read mapping, Genome assembly	2020-04-21	2025-05-15	14	True	True	True	True	bandage_info, bandage_image, bowtie2, fasta_filter_by_length, seqtk_sample, fasterq_dump, samtools_stats, nanoplot, samtools_view, multiqc, collapse_dataset, __ZIP_COLLECTION__, minimap2, fastp, samtools_fastx, unicycler	UseGalaxy.org.au, UseGalaxy.eu	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)	0		4014859	9394668	10.616666666666667	0	True	False
Assembly	ERGA post-assembly QC	https://training.galaxyproject.org//topics/assembly/tutorials/ERGA-post-assembly-QC/tutorial.html	Genomics, Sequence assembly, Biodiversity	De-novo assembly, Genotyping, Sequence assembly visualisation, Data deposition, Pairwise sequence alignment, Phasing, Data handling, Sequence assembly validation, Visualisation, Sequence trimming, Scaffolding, Sequence alignment analysis, Data parsing, Sequence alignment, k-mer counting, Genome assembly	2023-06-23	2025-06-04	8	True	False	True	True	bandage_image, pretext_snapshot, blobtoolkit, meryl, bg_diamond, minimap2, collapse_dataset, pretext_map, busco, samtools_stats, interactive_tool_blobtoolkit, bwa_mem2, merqury, CONVERTER_gz_to_uncompressed, bellerophon, tp_find_and_replace, gfastats, smudgeplot, genomescope, __EXTRACT_DATASET__	UseGalaxy.eu	UseGalaxy.org.au, UseGalaxy.org (Main)	0		2722	3446	8.583333333333334	0	True	False
Assembly	Using the VGP workflows to assemble a vertebrate genome with HiFi and Hi-C data	https://training.galaxyproject.org//topics/assembly/tutorials/vgp_workflow_training/tutorial.html	Sequence assembly, Chromosome conformation capture	Sequence assembly validation, Visualisation	2022-04-06	2026-05-18	27	True	False	True	False	quast	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)		0		4990	6538	6.866666666666666	0	True	False
Assembly	Decontamination of a genome assembly	https://training.galaxyproject.org//topics/assembly/tutorials/assembly-decontamination/tutorial.html	Genomics, Sequence assembly, Biodiversity	Data handling, Taxonomic classification	2024-09-04	2025-06-04	5	True	False	True	True	ncbi_blastn_wrapper, tp_cat, Cut1, Filter1, gfastats, tp_sed_tool, parse_mito_blast, ncbi_dustmasker_wrapper, kraken2	UseGalaxy.org.au, UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.be, UseGalaxy.cz	0		2382	2878	9.083333333333334	0	True	False
Assembly	Vertebrate genome assembly using HiFi, Bionano and Hi-C data - Step by Step	https://training.galaxyproject.org//topics/assembly/tutorials/vgp_genome_assembly/tutorial.html	Genomics, Sequence assembly, Biodiversity	De-novo assembly, Primer removal, Pairwise sequence alignment, Phasing, Data handling, Sequence assembly validation, Visualisation, Mapping, Read pre-processing, Scaffolding, Read binning, k-mer counting, Sequence alignment, Sequence trimming, Genome assembly	2021-06-04	2026-04-13	59	True	False	True	True	pretext_snapshot, salsa, meryl, tp_cut_tool, minimap2, sort1, collapse_dataset, pretext_map, gfa_to_fa, cat1, busco, bedtools_bamtobed, cutadapt, hifiasm, tp_grep_tool, bionano_scaffold, bwa_mem2, merqury, purge_dups, Convert characters1, bellerophon, tp_find_and_replace, yahs, gfastats, Add_a_column1, collection_column_join, genomescope, quast		UseGalaxy.cz	0		20168	28983	3.1333333333333333	0	True	False
Assembly	Chloroplast genome assembly	https://training.galaxyproject.org//topics/assembly/tutorials/chloroplast-assembly/tutorial.html		De-novo assembly, Genome indexing, Analysis, Sequence assembly visualisation, Cross-assembly, Coding region prediction, Gene prediction, Genome annotation, Sequence assembly, Box-Whisker plot plotting, Scatter plot plotting, Genome visualisation, Read alignment, Read mapping, Generation, Sequence alignment, Mapping assembly, Genome assembly	2020-12-04	2026-01-23	22	True	False	True	True	flye, fasta-stats, prokka, bandage_info, upload1, bandage_image, pilon, bwa_mem, nanoplot, jbrowse	UseGalaxy.eu	GalaxyTrakr, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)	0		8934	13746	7.983333333333333	0	True	False
Assembly	Large genome assembly and polishing	https://training.galaxyproject.org//topics/assembly/tutorials/largegenome/tutorial.html	Genomics, Sequence assembly, Biodiversity	Sequence composition calculation, Sequence assembly visualisation, Variant calling, Sequence assembly, Pairwise sequence alignment, Sequencing quality control, De-novo assembly, Scatter plot plotting, Validation, Statistical calculation, Cross-assembly, Box-Whisker plot plotting, Sequence assembly validation, Visualisation, Sequence contamination filtering, Base-calling, Mapping assembly, Genome assembly	2023-03-06	2026-01-23	15	True	False	True	True	flye, fasta-stats, barchart_gnuplot, bandage_image, fastqc, nanoplot, busco, medaka_consensus_pipeline, multiqc, racon, genomescope, quast, meryl, minimap2, fastp	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu	UseGalaxy.cz	0		8664	11118	5.4	0	True	False
Assembly	Genome Assembly Quality Control	https://training.galaxyproject.org//topics/assembly/tutorials/assembly-quality-control/tutorial.html	Biodiversity, Sequence assembly, Data quality management	Visualisation, De-novo assembly, Scaffolding, k-mer counting, Phasing, Sequence assembly validation, Genome assembly	2022-08-26	2025-06-04	6	True	True	False	True	busco, merqury, meryl, quast, chromeister	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.fr	UseGalaxy.cz	0		3108418	6431096	10.2	0	True	False
Assembly	Unicycler Assembly	https://training.galaxyproject.org//topics/assembly/tutorials/unicycler-assembly/tutorial.html	Sequence assembly, Genomics, Microbiology	Sequence composition calculation, Validation, Statistical calculation, Coding region prediction, Gene prediction, Genome annotation, Sequence assembly validation, Visualisation, Sequencing quality control, Aggregation, Genome assembly	2017-10-11	2026-01-23	25	True	True	False	True	prokka, fastqc, multiqc, quast, unicycler	UseGalaxy.org.au, UseGalaxy.eu, UseGalaxy.org (Main)	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		4021761	9406636	7.066666666666666	0	True	False
